,event,location,from,to,admision,address,category
131,The Sun Shines Today Also,Massachusetts College of Art and Design,"Wednesday, Aug 10, 2016   9:00a","Friday, Sep 16, 2016   5:00p",FREE,"621 Huntington Avenue Boston , MA 02109",Art
132,Anna Deavere Smith in 'Notes from the Field: Doing Time in Education',Loeb Drama Center,"Saturday, Aug 20, 2016   7:30p","Saturday, Sep 17, 2016   9:30p",$70-85,"64 Brattle St Cambridge , MA 02138-3443",Performing Arts
133,Codzilla: High-Speed Jet Boat Tour of Boston Harbor,Boston Harbor Cruises,"Saturday, Jun 25, 2016   12:00p","Sunday, Sep 18, 2016   6:00p",$25-30,"1 Long Wharf Boston , MA 02110",Date Idea
134,Boston Harbor Sunset Cruise,Boston Harbor Cruises,"Saturday, May 07, 2016   7:00p","Sunday, Sep 18, 2016   8:30p",$27.95,"1 Long Wharf Boston , MA 02110","Date Idea, Nightlife"
135,Moonlight & Starstruck Cruise,Massachusetts Bay Line Vessels,"Saturday, Jun 18, 2016   9:00p","Friday, Sep 23, 2016   10:30p",$22,"60 Rowes Wharf Boston , MA 02210","Alcohol, Date Idea, Nightlife"
136,Pirate Ship Sunset Cruise,Massachusetts Bay Line Vessels,"Friday, Aug 05, 2016   6:30p","Saturday, Sep 24, 2016   8:30p",$45,"60 Rowes Wharf Boston , MA 02210","Alcohol, Date Idea"
137,Salvador JimÃ©nez-Flores: Nadie descubriÃ³ las AmÃ©ricas | No One Discovered the Americas,"Ceramics Program, Office for the Arts at Harvard","Monday, Aug 29, 2016   9:30a","Saturday, Sep 24, 2016   5:00p",FREE,"224 Western Ave Allston , MA 02134",Art
138,Lasting Impressions: Art Quilts 2016,Whistler House Museum of Art,"Saturday, Aug 13, 2016   11:00a","Saturday, Sep 24, 2016   4:00p",FREE,"243 Worthen Street Lowell , MA 01851",Art
139,Day Sail Along Boston Harbor,"Adirondack III, Rowes Wharf","Wednesday, May 11, 2016   3:30p","Sunday, Sep 25, 2016   5:30p",$45,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea"
140,Romantic Sunset Sail on Boston Harbor,"Adirondack III, Rowes Wharf","Thursday, May 12, 2016   6:30p","Sunday, Sep 25, 2016   8:30p",$55,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea, Nightlife"
141,Sunken Monuments Cruise Tour of Boston Harbor,Northern Lights at Rowes Wharf,"Saturday, Jun 25, 2016   1:30p","Sunday, Sep 25, 2016   3:30p",$38,"60 Rowes Wharf Boston , MA 02110","Date Idea, Lectures & Conferences"
142,Summer Concerts at Brewer Plaza,"Boston Common, Brewer Fountain","Friday, Jun 24, 2016   12:00p","Friday, Sep 30, 2016   1:00p",FREE,"148 Tremont St Boston , MA 02111","Date Idea, Music"
143,Local Artist Nyx Breen Launches Art Exhibit at Onyx Hotel,Onyx Hotel,"Thursday, Jul 21, 2016   12:00a","Friday, Oct 14, 2016   11:30p",FREE,"155 Portland Street Boston , MA 02114",Art
144,Hy-Brasil: Mapping a Mythical Island,Norman B. Leventhal Map Center at the Boston Public Library,"Wednesday, Jun 29, 2016   10:00a","Sunday, Oct 23, 2016   7:00p",FREE,"700 Boylston Street, Copley Square Boston , MA 02116",Art
145,Seaport Sweat: Free Fitness on Seaport Green,Seaport Green,"Monday, Aug 01, 2016   5:30p","Monday, Oct 31, 2016   6:30p",FREE,"85 Northern Ave Boston , MA 02210","Date Idea, Sports & Active Life"
146,Shear Madness: Boston's Hilarious Whodunit,Charles Playhouse,"Saturday, Apr 04, 2015   6:00p","Saturday, Dec 17, 2016   8:00p",$25,"74 Warrenton St Boston , MA 02116","Date Idea, Performing Arts"
147,Blue Man Group Boston,Charles Playhouse,"Thursday, Nov 19, 2015   7:30p","Saturday, Dec 31, 2016   9:30p",$57-103,"74 Warrenton St Boston , MA 02116","Date Idea, Music, Nightlife, Performing Arts"
148,Trapped in a Room with a Zombie,Room Escape Adventures Boston,"Friday, May 29, 2015   6:30p","Saturday, Dec 31, 2016   7:30p",$28,"628 Somerville Ave Somerville , MA 02143","Date Idea, Nightlife, Performing Arts"
149,Shit-faced Shakespeare,Laugh Boston + The Rockwell (formerly the Davis Square Theatre),"Thursday, May 07, 2015   7:00p","Friday, Jan 27, 2017   8:30p",$27.50,"255 Elm St Somerville , MA 02144","Alcohol, Date Idea, Nightlife, Performing Arts"
150,Picturing Frederick Douglass,Museum of African American History,"Friday, Jul 15, 2016   10:00a","Wednesday, May 31, 2017   4:00p",$5,"46 Joy St. Boston , MA 02114",
151,DUF CHARLESTOWN BOOTCAMP,Bunker hill monument,"Wednesday, Aug 31, 2016  6:00a",6:45a,$10-18,"Monument Sq Charlestown , Massachusetts 02129",Sports & Active Life
152,Indo-Row:  South End Rowing Class,Swet Studio,"Wednesday, Aug 31, 2016  6:30a",7:30p,$See Website for Details,"480 Tremont Street Boston , Massachusetts 02116","Date Idea, Sports & Active Life"
153,Stair workout at Harvard Stadium (The November Project),Harvard Stadium,"Wednesday, Aug 31, 2016  6:30a",7:30p,FREE,"65 N Harvard St. Allston , MA ","Meetup, Sports & Active Life"
154,BOOTCAMP Eastie,Bremen St. Park,"Wednesday, Aug 31, 2016  6:30a",7:30a,$10.00,"1 Harborside Drive East Boston , MA 02128",Sports & Active Life
155,XTEND BARRE POP UP ,THE LAWN AT 3RD AVE,"Wednesday, Aug 31, 2016  7:00a",7:30a,FREE,"62 SECOND AVE BURLINGTON , MA 01803",Sports & Active Life
156,Deutsche Bank Championship,TPC Boston,"Wednesday, Aug 31, 2016   8:00a","Monday, Sep 05, 2016   6:30p",$varies,"400 Arnold Palm Norton , MA 02766",Sports & Active Life
157,Amazing Scavenger Hunt Adventure- Boston,Boston Common,"Wednesday, Aug 31, 2016  10:00a",7:00p,$9-$20,"139 Tremont Boston , Ma 02111","Date Idea, Kid Friendly, Social Good, Sports & Active Life"
158,Try a Superpedestrian bike for the day,Superpedestrian,"Wednesday, Aug 31, 2016  10:00a",6:00p,$15,"84 Hamilton Street Cambridge , Massachusetts 02139","Business, Innovation, Sports & Active Life, Tech, University, Date Idea"
159,Kid's Art,Faneuil Hall Marketplace,"Wednesday, Aug 31, 2016  10:30a",12:30p,FREE,"South Market Street Boston , Massachusetts 02109",Kid Friendly
160,Popular Food Truck Wednesdays Returns to the Arsenal Project!,The Arsenal Project,"Wednesday, Aug 31, 2016  11:00a",2:00p,FREE,"485 Arsenal Street Watertown , MA 02472",Food
161,Sweet & Savory South End Food Tasting and Neighborhood Walking Tour,South End Boston,"Wednesday, Aug 31, 2016  11:30a",3:00p,$59 + tax,"Exact Meeting Location Provided Following Ticket Purchase Boston , MA 02118","Food, Date Idea"
162,History Matters series - All men Created Equal? The History of Slavery in Massachusetts,Congregational Library & Archives,"Wednesday, Aug 31, 2016  12:00p",1:00p,FREE,"14 Beacon Street Boston , MA 02108",Lectures & Conferences
163,Tour of the William Hickling Prescott House,Prescott House,"Wednesday, Aug 31, 2016  12:00p",4:00p,$8,"55 Beacon St Boston , MA 02108",Lectures & Conferences
164,Introduction to Hops and Permaculture,ifarm LLC,"Wednesday, Aug 31, 2016  1:30p",3:30p,$15,"55 Towne Road Boxford , MA 01921","Food, Lectures & Conferences, Kid Friendly"
165,Tour of Boston's Revolutionary and Drunken Past (with beer!),Freedom Trail,"Wednesday, Aug 31, 2016  2:00p",4:30p,$52.00,"1 Park Street Boston , MA 02108",Alcohol
166,API Talks Boston,District Hall,"Wednesday, Aug 31, 2016  3:00p",7:00p,$5.00,"75 Northern Avenue, Boston , Massachusetts 02210","Alcohol, Business, Food, Innovation, Tech"
167,Creative City: Dancing Elotes,Lewis Mall (Behind Maverick T Station),"Wednesday, Aug 31, 2016  3:30p",6:30p,FREE,"209 Sumner St Boston , MA 02128","Art, Date Idea, Festivals & Fairs, Food, Kid Friendly, Performing Arts, Social Good"
168,Free Wednesdays @ The MFA,Museum of Fine Arts,"Wednesday, Aug 31, 2016  4:00p",9:30p,FREE,"465 Huntington Avenue Boston , MA 02115","Art, Date Idea"
169,Survival English for Travelers ,Faneuil Hall,"Wednesday, Aug 31, 2016  4:00p",6:00p,FREE,"Faneuil Hall - 1 Faneuil Hall Square Boston , Massachusetts 02109",
170,"Aeronaut Allston Week 12: Margot MacDonald, Erik van Dam, Jan Marie",AERONAUT Allston,"Wednesday, Aug 31, 2016  5:00p",9:30p,FREE,"267 Western Avenue Allston , MA 02134-1039","Alcohol, Art, Date Idea, Festivals & Fairs, Innovation, LGBT, Meetup, Music, Nightlife, Party, Performing Arts, Tech"
171,Moto Z Tech Tasting ,Boston Verizon Destination Store,"Wednesday, Aug 31, 2016  5:00p",7:00p,FREE,"745 Boylston St Boston , MA 02116","Food, Tech"
172,Bark in the Park,Paul Revere Park,"Wednesday, Aug 31, 2016  5:30p",7:30p,FREE,"Constitution Rd Charlestown , MA 02129","Date Idea, Festivals & Fairs, Food"
173,"Beginners Calligraphy Classes & Improve Your Hand-writing Workshops: Weekly, Year-round",Lettering By Liz studio,"Wednesday, Aug 31, 2016  6:00p",8:00p,$100,"118 South Street - by appt only Boston , MA 02111",Art
174,"Ladies Night: Chocolate, Wine, & Wild Women of Boston!",Lucca,"Wednesday, Aug 31, 2016  6:00p",8:00p,$45.00,"226 Hanover St. Boston , MA 02113","< 21, Alcohol, Food, Lectures & Conferences"
175,FREE Yoga in the Park!,Larz Anderson Park,"Wednesday, Aug 31, 2016  6:00p",7:00p,FREE,"Goddard Avenue Brookline , Massachusetts 02445","Date Idea, Meetup, Social Good, Sports & Active Life"
176,Blues Traveler & The Wallflowers,House of Blues Boston,"Wednesday, Aug 31, 2016  6:00p",10:00p,$42.50-65,"15 Lansdowne St Boston , MA 02215",Music
177,Zumba at Coolidge Park with Healthworks Fitness,Coolidge Park,"Wednesday, Aug 31, 2016  6:00p",7:00p,FREE,"Columbia Street & Russel Street Brookline , MA 02446","Party, Sports & Active Life"
178,Drawing in the Galleries at the MFA,MFA,"Wednesday, Aug 31, 2016  6:00p",9:00p,FREE,"465 Huntington Avenue Boston , MA ",Art
179,#uNsbn FREE Small Business Buffet,Tavern in the Square (Central Sq.),"Wednesday, Aug 31, 2016  6:00p",8:00p,FREE,"730 Massachusetts Avenue Cambridge , MA 02139","Alcohol, Business, Food, Meetup"
180,Flicks On the Lawn - Into the Woods,Benjamin Franklin Institute of Technology,"Wednesday, Aug 31, 2016  6:00p",10:30p,"$Children under 12 and members free, adult nonmembers $5.00","41 Berkeley St Boston , MA 02116",Film
181,Boston Public Library Concerts in the Courtyard,Boston Public Library,"Wednesday, Aug 31, 2016  6:00p",7:00p,FREE,"700 Boylston St Boston , MA 02116","Date Idea, Music"
182,Boston Harbor Hotelâs 18th Annual Summer in the City Series Presents: Rat Pack Wednesdays featuring Alex MacDougall Band,Boston Harbor Hotel,"Wednesday, Aug 31, 2016  6:00p",10:00p,FREE,"70 Rowes Wharf Boston , MA 02110","< 21, Music, Nightlife"
183,Downeast Cider Running Club,Downeast Cider House,"Wednesday, Aug 31, 2016  6:30p",8:00p,FREE,"200 Terminal St Charlestown , MA 02129","< 21, Alcohol, Business, Date Idea, Meetup, Party, Social Good, Sports & Active Life, University"
184,7th Annual Celebrity Bartending,Hard Rock Cafe,"Wednesday, Aug 31, 2016  6:30p",8:30p,FREE,"23 Clinton Boston , MA 02109","Alcohol, Meetup, Nightlife, Sports & Active Life"
185,Legal Sea Foodsâ Neyers Vineyards Wine Dinner,Legal Sea Foods - Park Square,"Wednesday, Aug 31, 2016  6:30p",8:30p,$95,"26 Park Square Boston , MA 02116","Alcohol, Date Idea, Food"
186,Voices of MetroWest Open Rehearsals,First Congregational Church,"Wednesday, Aug 31, 2016  6:45p",8:45p,FREE,"2 E. Central St. Natick , MA 01760","Music, Performing Arts"
187,Boston Landmarks Orchestra 2016 Season,DCR Hatch Memorial Shell,"Wednesday, Aug 31, 2016  7:00p",9:00p,FREE,"47 David G Mugar Way Boston , MA 02108","Date Idea, Music, Performing Arts"
188,Chopps American Bar and Grill Welcomes Singer-Songwriter Jeff Mrozek,Chopps American Bar and Grill,"Wednesday, Aug 31, 2016  7:00p",10:00p,FREE,"One Burlington Mall Road Burlington , Massachusetts 01803",Music
189,Hearth Book Club: The Crane Wife,Blue Shirt Cafe,"Wednesday, Aug 31, 2016  7:00p",8:30p,FREE,"424 Highland Ave Somerville , MA 02144","Art, Date Idea, Lectures & Conferences"
190,Bocce Ball League Night - Cambridge,Pacific Street Park,"Wednesday, Aug 31, 2016  7:00p",8:00p,$70,"70 Pacific Street Cambridge , MA 02139","Alcohol, Nightlife, Sports & Active Life"
191,Rodgers and Hartâs The Boys from Syracuse,DCR's Hatch Shell,"Wednesday, Aug 31, 2016  7:00p",9:00p,FREE,"47 David G Mugar Way Boston , MA 02108","Music, Performing Arts"
192,Spanish Literature Workshop (Basic Level),Boston Area Spanish Exchange (BASE),"Wednesday, Aug 31, 2016  7:15p",8:15p,FREE,"50 Milk Street Boston , MA ","Business, Innovation, Meetup, Social Good"
193,Yoga at Gallery 263: Wind Down Wednesdays,Gallery 263,"Wednesday, Aug 31, 2016  7:15p",8:30p,$10,"263 Pearl Street Cambridge , MA 02139","< 21, Art, Sports & Active Life"
194,Gad Elmaleh,Somerville Theatre,"Wednesday, Aug 31, 2016  7:30p",9:30p,$35,"55 Davis Square Somerville , Massachusetts 02144","Art, Date Idea, Performing Arts"
195,Gad Elmaleh,Somerville Theatre,"Wednesday, Aug 31, 2016  7:30p",9:30p,$35,"55 Davis Square Somerville , Massachusetts 02144","Art, Date Idea, Performing Arts"
196,"OpinioNation Survey ""Trivia"" Game",Modern Underground,"Wednesday, Aug 31, 2016  7:30p",9:30p,FREE,"263 Hanover Street Boston , MA 02113","Alcohol, Date Idea, Meetup, Music, Nightlife, Party, University"
197,Introduction to Google Analytics,General Assembly Boston,"Wednesday, Aug 31, 2016  7:30p",9:30p,$40,"51 Melcher Street Boston , Massachusetts 02210","Business, Innovation"
198,MIT Social Swing Dance and Lesson,Massachusetts Institute of Technology,"Wednesday, Aug 31, 2016  7:30p",11:30p,FREE,"77 Massachusetts Avenue Cambridge , ma 02139",Date Idea
199,Stump Team Trivia,Dedham Square Coffeehouse,"Wednesday, Aug 31, 2016  7:30p",9:30p,FREE,"565 High Street Dedham , MA 02026","< 21, Alcohol, Date Idea, Food, Meetup, Nightlife"
200,Standup Comedy Best of Boston Showcase XIII,Limelight Stage + Studios,"Wednesday, Aug 31, 2016  7:45p",10:00p,FREE,"204 Tremont St. Boston , MA 02116","< 21, Alcohol, Art, Date Idea, LGBT, Meetup, Nightlife, Party, Performing Arts"
201,thinktank trivia night @ Blarney Stone,Blarney Stone,"Wednesday, Aug 31, 2016  8:00p",10:00p,FREE,"1505 Dorchester Ave Boston , MA 02122","< 21, Date Idea, Meetup, Nightlife, Social Good"
202,Rob Flax & Courtesy Arc with Miriam Elhajli,Club Passim,"Wednesday, Aug 31, 2016  8:00p",10:00p,$13-15,"47 Palmer Street, Cambridge , MA 02138",Music
203,"LIVE MUSIC: Arian Shafiee, KARL, Wren Kitz, Alexander, & Kate Village",Email 4 address,"Wednesday, Aug 31, 2016  8:00p",11:30p,$5-10,"A road Boston , MA 02134","< 21, Date Idea, Music, Nightlife, Performing Arts"
204,Gary Clark Jr.: The Story of Sonny Boy Slim Tour,Blue Hills Bank Pavilion,"Wednesday, Aug 31, 2016  8:00p",11:00p,$25-44.50,"290 Northern Ave Boston , MA 02210",Music
205,Funny Bone Trivia,Eat with Jack Oneills,"Wednesday, Aug 31, 2016  8:00p",9:30p,FREE,"1885 Centre Street West Roxbury , MA 02132","Alcohol, Date Idea, Food, LGBT, Meetup, Social Good, University"
206,Boston CouchSurfing Weekly Meet-Up,Cambridge Brewing Company,"Wednesday, Aug 31, 2016  8:30p",11:30p,FREE,"1 Kendall Square, Bldg 100 Cambridge , MA 02139","Alcohol, Meetup, Nightlife, Food"
207, Public Open Night @ the BU Astronomical Observatory,Coit Observatory at Boston University,"Wednesday, Aug 31, 2016  8:30p",9:30p,FREE,"725 Commonwealth Ave Boston , MA ","Meetup, Date Idea"
208,Comedy Night,The Burren Irish Bar & Restaurant,"Wednesday, Aug 31, 2016   10:00p","Thursday, Sep 01, 2016   1:00a",FREE,"247 Elm St Somerville , Ma 02144","Alcohol, Date Idea, Nightlife, Performing Arts"
209,Top 7 Rooftop Bars in/around Boston,Boston +,"Friday, Mar 25, 2016   3:00p","Wednesday, Aug 31, 2016   11:00p",$[Varies],"Surrounding Areas Boston , MA ","Alcohol, Date Idea, Food, Nightlife"
210,Metropolitan Chorale Auditions,All Saints Church,"Monday, Aug 15, 2016   7:00p","Wednesday, Aug 31, 2016   10:00p",FREE,"1773 Beacon Street Brookline , MA 02445",Performing Arts
211,Erik DesmaziÃ¨res: Imaginary Places,Childs Gallery,"Thursday, Jul 14, 2016   9:00a","Friday, Sep 02, 2016   6:00p",FREE,"169 Newbury Street Boston , MA 02116","Art, Kid Friendly"
212,Now + There Presents Public Trust in Dudley Square,Dudley Square Branch of the Boston Public Library,"Saturday, Aug 27, 2016   10:00a","Friday, Sep 02, 2016   8:00p",FREE,"65 Warren Street Roxbury , MA 02119","Art, Kid Friendly, Performing Arts, Social Good"
213,Summer Getaway! 22nd Annual Summer Poster Show,International Poster Gallery,"Tuesday, Jul 05, 2016   10:00a","Monday, Sep 05, 2016   6:00p",FREE,"205 Newbury Street Boston , Massachusetts 02116",Art
214,Mollusk Madness at Saloon,Saloon,"Wednesday, Aug 03, 2016   5:00p","Monday, Sep 05, 2016   7:00p",FREE,"255 Elm Street Somerville , MA 02144","< 21, Alcohol, Business, Date Idea, Food, LGBT, Meetup, Music, Nightlife, Party"
215,Extraordinary Playscapes,BSA Space,"Wednesday, Jun 08, 2016   6:00p","Monday, Sep 05, 2016   11:30p",FREE,"290 Congress St. Boston , MA 02210","< 21, Art, Innovation, Kid Friendly, Social Good, Sports & Active Life"
216,'Golden Girls' Live On Stage: A Drag Parody with Music,Club Cafe,"Friday, May 27, 2016   8:00p","Sunday, Sep 11, 2016   10:00p",$50-70,"209 Columbus Ave Boston , MA 02116","LGBT, Nightlife, Performing Arts"
217,Sunset Cruise on the Charles River,Charles Riverboat Company,"Friday, Jun 24, 2016   5:30p","Monday, Sep 12, 2016   8:30p",$18,"100 Cambridgeside Pl Cambridge , MA 02141","Alcohol, Date Idea, Music"
218,The Sun Shines Today Also,Massachusetts College of Art and Design,"Wednesday, Aug 10, 2016   9:00a","Friday, Sep 16, 2016   5:00p",FREE,"621 Huntington Avenue Boston , MA 02109",Art
219,Anna Deavere Smith in 'Notes from the Field: Doing Time in Education',Loeb Drama Center,"Saturday, Aug 20, 2016   7:30p","Saturday, Sep 17, 2016   9:30p",$70-85,"64 Brattle St Cambridge , MA 02138-3443",Performing Arts
220,Boston Harbor Sunset Cruise,Boston Harbor Cruises,"Saturday, May 07, 2016   7:00p","Sunday, Sep 18, 2016   8:30p",$27.95,"1 Long Wharf Boston , MA 02110","Date Idea, Nightlife"
221,Codzilla: High-Speed Jet Boat Tour of Boston Harbor,Boston Harbor Cruises,"Saturday, Jun 25, 2016   12:00p","Sunday, Sep 18, 2016   6:00p",$25-30,"1 Long Wharf Boston , MA 02110",Date Idea
222,Moonlight & Starstruck Cruise,Massachusetts Bay Line Vessels,"Saturday, Jun 18, 2016   9:00p","Friday, Sep 23, 2016   10:30p",$22,"60 Rowes Wharf Boston , MA 02210","Alcohol, Date Idea, Nightlife"
223,Lasting Impressions: Art Quilts 2016,Whistler House Museum of Art,"Saturday, Aug 13, 2016   11:00a","Saturday, Sep 24, 2016   4:00p",FREE,"243 Worthen Street Lowell , MA 01851",Art
224,Pirate Ship Sunset Cruise,Massachusetts Bay Line Vessels,"Friday, Aug 05, 2016   6:30p","Saturday, Sep 24, 2016   8:30p",$45,"60 Rowes Wharf Boston , MA 02210","Alcohol, Date Idea"
225,Salvador JimÃ©nez-Flores: Nadie descubriÃ³ las AmÃ©ricas | No One Discovered the Americas,"Ceramics Program, Office for the Arts at Harvard","Monday, Aug 29, 2016   9:30a","Saturday, Sep 24, 2016   5:00p",FREE,"224 Western Ave Allston , MA 02134",Art
226,Day Sail Along Boston Harbor,"Adirondack III, Rowes Wharf","Wednesday, May 11, 2016   3:30p","Sunday, Sep 25, 2016   5:30p",$45,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea"
227,Romantic Sunset Sail on Boston Harbor,"Adirondack III, Rowes Wharf","Thursday, May 12, 2016   6:30p","Sunday, Sep 25, 2016   8:30p",$55,"60 Rowes Wharf Boston , MA 02110","Alcohol, Date Idea, Nightlife"
228,Sunken Monuments Cruise Tour of Boston Harbor,Northern Lights at Rowes Wharf,"Saturday, Jun 25, 2016   1:30p","Sunday, Sep 25, 2016   3:30p",$38,"60 Rowes Wharf Boston , MA 02110","Date Idea, Lectures & Conferences"
229,Summer Concerts at Brewer Plaza,"Boston Common, Brewer Fountain","Friday, Jun 24, 2016   12:00p","Friday, Sep 30, 2016   1:00p",FREE,"148 Tremont St Boston , MA 02111","Date Idea, Music"
230,Local Artist Nyx Breen Launches Art Exhibit at Onyx Hotel,Onyx Hotel,"Thursday, Jul 21, 2016   12:00a","Friday, Oct 14, 2016   11:30p",FREE,"155 Portland Street Boston , MA 02114",Art
231,Hy-Brasil: Mapping a Mythical Island,Norman B. Leventhal Map Center at the Boston Public Library,"Wednesday, Jun 29, 2016   10:00a","Sunday, Oct 23, 2016   7:00p",FREE,"700 Boylston Street, Copley Square Boston , MA 02116",Art
232,Seaport Sweat: Free Fitness on Seaport Green,Seaport Green,"Monday, Aug 01, 2016   5:30p","Monday, Oct 31, 2016   6:30p",FREE,"85 Northern Ave Boston , MA 02210","Date Idea, Sports & Active Life"
233,Shear Madness: Boston's Hilarious Whodunit,Charles Playhouse,"Saturday, Apr 04, 2015   6:00p","Saturday, Dec 17, 2016   8:00p",$25,"74 Warrenton St Boston , MA 02116","Date Idea, Performing Arts"
234,Trapped in a Room with a Zombie,Room Escape Adventures Boston,"Friday, May 29, 2015   6:30p","Saturday, Dec 31, 2016   7:30p",$28,"628 Somerville Ave Somerville , MA 02143","Date Idea, Nightlife, Performing Arts"
235,Blue Man Group Boston,Charles Playhouse,"Thursday, Nov 19, 2015   7:30p","Saturday, Dec 31, 2016   9:30p",$57-103,"74 Warrenton St Boston , MA 02116","Date Idea, Music, Nightlife, Performing Arts"
236,Shit-faced Shakespeare,Laugh Boston + The Rockwell (formerly the Davis Square Theatre),"Thursday, May 07, 2015   7:00p","Friday, Jan 27, 2017   8:30p",$27.50,"255 Elm St Somerville , MA 02144","Alcohol, Date Idea, Nightlife, Performing Arts"
237,Picturing Frederick Douglass,Museum of African American History,"Friday, Jul 15, 2016   10:00a","Wednesday, May 31, 2017   4:00p",$5,"46 Joy St. Boston , MA 02114",
